6485061|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|MEM_0/3|1032327168.0|0|489326592|2023-07-25 08:54:46
6485066|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|MEM_0/3|15211405312.0|0|5671546880|2023-07-25 08:54:46
6485071|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU33|100.0|0|1|2023-07-25 08:54:46
6485076|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU65|100.0|0|1|2023-07-25 08:54:46
6485081|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU289|100.0|0|1|2023-07-25 08:54:46
6485086|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU321|100.0|0|2|2023-07-25 08:54:46
6485091|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU33313|100.0|0|3|2023-07-25 08:54:46
6485096|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU33345|100.0|0|1|2023-07-25 08:54:46
6485101|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU33569|100.0|0|4|2023-07-25 08:54:46
6485106|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU33601|100.0|0|1|2023-07-25 08:54:46
6485111|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU33825|100.0|0|3|2023-07-25 08:54:46
6485116|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU33857|100.0|0|1|2023-07-25 08:54:46
6485121|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU34081|100.0|0|2|2023-07-25 08:54:46
6485126|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|CPU34113|100.0|0|1|2023-07-25 08:54:46
6485131|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|0/FT0|100.0|0|10|2023-07-25 08:54:46
6485136|HLC9105.CLOUD.ASR9912.BB.02|10.60.249.38|0/FT1|100.0|0|10|2023-07-25 08:54:46
6485151|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|MEM_0/RSP0|1986506752.0|0|814934016|2023-07-25 08:54:46
6485156|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|MEM_0/RSP0|20147773440.0|0|5874468864|2023-07-25 08:54:46
6485161|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|MEM_0/RSP1|1986506752.0|0|741888000|2023-07-25 08:54:46
6485166|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|MEM_0/RSP1|20147773440.0|0|7250743296|2023-07-25 08:54:46
6485171|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|MEM_0/0|1032327168.0|0|495140864|2023-07-25 08:54:46
6485176|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|MEM_0/0|15211405312.0|0|5630046208|2023-07-25 08:54:46
6485181|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|MEM_0/1|1032327168.0|0|491841536|2023-07-25 08:54:46
6485186|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|MEM_0/1|15211405312.0|0|5615810560|2023-07-25 08:54:46
6485191|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|CPU33|100.0|0|1|2023-07-25 08:54:46
6485196|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|CPU65|100.0|0|2|2023-07-25 08:54:46
6485201|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|CPU289|100.0|0|1|2023-07-25 08:54:46
6485206|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|CPU321|100.0|0|1|2023-07-25 08:54:46
6485211|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|CPU33313|100.0|0|1|2023-07-25 08:54:46
6485216|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|CPU33345|100.0|0|1|2023-07-25 08:54:46
6485221|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|CPU33569|100.0|0|1|2023-07-25 08:54:46
6485226|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|CPU33601|100.0|0|1|2023-07-25 08:54:46
6485231|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|0/FT0|100.0|0|10|2023-07-25 08:54:46
6485236|HLC9105.CLOUD.ASR9910.RR.01|10.60.249.39|0/FT1|100.0|0|10|2023-07-25 08:54:46
6707036|SPGM01DRFIREWALL01|10.255.113.92|CPU3.0|100.0|0|1|2023-07-25 08:54:50
6707041|SPGM01DRFIREWALL01|10.255.113.92|CPU4.0|100.0|0|1|2023-07-25 08:54:50
6707046|SPGM01DRFIREWALL01|10.255.113.92|CPU5.0|100.0|0|1|2023-07-25 08:54:50
6707056|SPGM01DRFIREWALL01|10.255.113.92|CPU7.0|100.0|0|1|2023-07-25 08:54:50
6707061|SPGM01DRFIREWALL01|10.255.113.92|CPU8.0|100.0|0|1|2023-07-25 08:54:50
6707066|SPGM01DRFIREWALL01|10.255.113.92|CPU9.0|100.0|0|1|2023-07-25 08:54:50
6707071|SPGM01DRFIREWALL01|10.255.113.92|CPU10.0|100.0|0|1|2023-07-25 08:54:50
6707076|SPGM01DRFIREWALL01|10.255.113.92|CPU11.0|100.0|0|1|2023-07-25 08:54:50
6707081|SPGM01DRFIREWALL01|10.255.113.92|CPU12.0|100.0|0|0|2023-07-25 08:54:50
6707086|SPGM01DRFIREWALL01|10.255.113.92|CPU13.0|100.0|0|1|2023-07-25 08:54:50
6707091|SPGM01DRFIREWALL01|10.255.113.92|CPU14.0|100.0|0|1|2023-07-25 08:54:50
6707096|SPGM01DRFIREWALL01|10.255.113.92|CPU15.0|100.0|0|0|2023-07-25 08:54:50
6707101|SPGM01DRFIREWALL01|10.255.113.92|CPU16.0|100.0|0|0|2023-07-25 08:54:50
6707121|SPGM01DRFIREWALL01|10.255.113.92|CPU20.0|100.0|0|1|2023-07-25 08:54:50
6707126|SPGM01DRFIREWALL01|10.255.113.92|CPU21.0|100.0|0|0|2023-07-25 08:54:50
6707146|SPGM01DRFIREWALL01|10.255.113.92|CPU25.0|100.0|0|0|2023-07-25 08:54:50
6707151|SPGM01DRFIREWALL01|10.255.113.92|CPU26.0|100.0|0|1|2023-07-25 08:54:50
6707156|SPGM01DRFIREWALL01|10.255.113.92|CPU27.0|100.0|0|0|2023-07-25 08:54:50
6707161|SPGM01DRFIREWALL01|10.255.113.92|CPU28.0|100.0|0|0|2023-07-25 08:54:50
6707196|SPGM01DRFIREWALL01|10.255.113.92|CONNECTIONS|5000000.0|0|5152|2023-07-25 08:54:50
6707221|SPGM01DRFIREWALL02|10.255.113.93|CPU|100.0|0|1|2023-07-25 08:54:50
6707226|SPGM01DRFIREWALL02|10.255.113.93|CPU1.0|100.0|0|2|2023-07-25 08:54:50
6707231|SPGM01DRFIREWALL02|10.255.113.93|CPU2.0|100.0|0|1|2023-07-25 08:54:50
6707236|SPGM01DRFIREWALL02|10.255.113.93|CPU3.0|100.0|0|1|2023-07-25 08:54:50
6707241|SPGM01DRFIREWALL02|10.255.113.93|CPU4.0|100.0|0|1|2023-07-25 08:54:50
6707246|SPGM01DRFIREWALL02|10.255.113.93|CPU5.0|100.0|0|1|2023-07-25 08:54:50
6707251|SPGM01DRFIREWALL02|10.255.113.93|CPU6.0|100.0|0|1|2023-07-25 08:54:50
6707256|SPGM01DRFIREWALL02|10.255.113.93|CPU7.0|100.0|0|1|2023-07-25 08:54:50
6707261|SPGM01DRFIREWALL02|10.255.113.93|CPU8.0|100.0|0|1|2023-07-25 08:54:50
6707266|SPGM01DRFIREWALL02|10.255.113.93|CPU9.0|100.0|0|1|2023-07-25 08:54:50
6707271|SPGM01DRFIREWALL02|10.255.113.93|CPU10.0|100.0|0|1|2023-07-25 08:54:50
6707276|SPGM01DRFIREWALL02|10.255.113.93|CPU11.0|100.0|0|1|2023-07-25 08:54:50
6707281|SPGM01DRFIREWALL02|10.255.113.93|CPU12.0|100.0|0|1|2023-07-25 08:54:50
6707286|SPGM01DRFIREWALL02|10.255.113.93|CPU13.0|100.0|0|1|2023-07-25 08:54:50
6707291|SPGM01DRFIREWALL02|10.255.113.93|CPU14.0|100.0|0|1|2023-07-25 08:54:50
6707296|SPGM01DRFIREWALL02|10.255.113.93|CPU15.0|100.0|0|1|2023-07-25 08:54:50
6707301|SPGM01DRFIREWALL02|10.255.113.93|CPU16.0|100.0|0|1|2023-07-25 08:54:50
6707311|SPGM01DRFIREWALL02|10.255.113.93|CPU18.0|100.0|0|1|2023-07-25 08:54:50
6707321|SPGM01DRFIREWALL02|10.255.113.93|CPU20.0|100.0|0|1|2023-07-25 08:54:50
6707326|SPGM01DRFIREWALL02|10.255.113.93|CPU21.0|100.0|0|1|2023-07-25 08:54:50
6707331|SPGM01DRFIREWALL02|10.255.113.93|CPU22.0|100.0|0|1|2023-07-25 08:54:50
6707346|SPGM01DRFIREWALL02|10.255.113.93|CPU25.0|100.0|0|1|2023-07-25 08:54:50
6707351|SPGM01DRFIREWALL02|10.255.113.93|CPU26.0|100.0|0|1|2023-07-25 08:54:50
6707356|SPGM01DRFIREWALL02|10.255.113.93|CPU27.0|100.0|0|1|2023-07-25 08:54:50
6707361|SPGM01DRFIREWALL02|10.255.113.93|CPU28.0|100.0|0|1|2023-07-25 08:54:50
6707366|SPGM01DRFIREWALL02|10.255.113.93|CPU29.0|100.0|0|1|2023-07-25 08:54:50
6707371|SPGM01DRFIREWALL02|10.255.113.93|CPU30.0|100.0|0|1|2023-07-25 08:54:50
6707376|SPGM01DRFIREWALL02|10.255.113.93|CPU31.0|100.0|0|1|2023-07-25 08:54:50
6707381|SPGM01DRFIREWALL02|10.255.113.93|CPU32.0|100.0|0|0|2023-07-25 08:54:50
6707396|SPGM01DRFIREWALL02|10.255.113.93|CONNECTIONS|5000000.0|0|5735|2023-07-25 08:54:50
6707421|SPHL08FIREWALL01|10.255.113.76|CPU|100.0|0|0|2023-07-25 08:54:50
6707426|SPHL08FIREWALL01|10.255.113.76|CPU1.0|100.0|0|0|2023-07-25 08:54:50
6707431|SPHL08FIREWALL01|10.255.113.76|CPU2.0|100.0|0|0|2023-07-25 08:54:50
6707436|SPHL08FIREWALL01|10.255.113.76|CPU3.0|100.0|0|0|2023-07-25 08:54:50
6707441|SPHL08FIREWALL01|10.255.113.76|CPU4.0|100.0|0|0|2023-07-25 08:54:50
6707446|SPHL08FIREWALL01|10.255.113.76|CPU5.0|100.0|0|1|2023-07-25 08:54:50
6707451|SPHL08FIREWALL01|10.255.113.76|CPU6.0|100.0|0|1|2023-07-25 08:54:50
