id,hostname,ip,name,speed,maxi_60,maxo_60,last_update
2312958,HLC-VDI-FG800C-01,10.61.192.253,port3,1000000,182,35,2023-05-08 15:44:16
2312963,HLC-VDI-FG800C-01,10.61.192.253,port11,1000000,65904,169214,2023-05-08 15:44:16
2312968,HLC-VDI-FG800C-01,10.61.192.253,port13,1000000,541,541,2023-05-08 15:44:16
2312973,HLC-VDI-FG800C-01,10.61.192.253,port24,10000000,76121334,74225353,2023-05-08 15:44:16
2896928,HLC-VDI-FG800C-01,10.61.192.253,port4,1000000,1713750,4371393,2023-05-08 15:44:16
6452436,HLC-VDI-FG800C-01,10.61.192.253,ssl.root,100000000,0,0,2023-05-08 15:44:16
6484796,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,HundredGigE0/1/0/1,100000000,186000,198598,2023-05-08 15:44:22
6484801,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,TenGigE0/3/0/0,10000000,9198,9928,2023-05-08 15:44:22
6484806,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,HundredGigE0/0/0/0,100000000,201177697,116665001,2023-05-08 15:44:22
6484811,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,HundredGigE0/2/0/1,100000000,113772424,182036030,2023-05-08 15:44:22
6484816,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,HundredGigE0/2/0/0,100000000,132842073,173882805,2023-05-08 15:44:22
6484821,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,TenGigE0/3/0/2,10000000,45932,39436,2023-05-08 15:44:22
6484826,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,HundredGigE0/0/0/1,100000000,186004,199289,2023-05-08 15:44:22
6484831,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,HundredGigE0/1/0/0,100000000,180285366,105869130,2023-05-08 15:44:22
6484966,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,HundredGigE0/1/0/1,100000000,205690,185841,2023-05-08 15:44:22
6484971,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,TenGigE0/3/0/0,10000000,9602,9249,2023-05-08 15:44:22
6484976,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,Bundle,200000000,413699,371730,2023-05-08 15:44:22
6484981,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,HundredGigE0/1/0/0,100000000,178355122,115381686,2023-05-08 15:44:22
6484986,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,HundredGigE0/2/0/1,100000000,144559565,172913688,2023-05-08 15:44:22
6484991,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,TenGigE0/3/0/2,10000000,38,70380,2023-05-08 15:44:22
6484996,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,HundredGigE0/0/0/1,100000000,208033,185895,2023-05-08 15:44:22
6485001,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,HundredGigE0/0/0/0,100000000,166958620,118222410,2023-05-08 15:44:22
6485006,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,HundredGigE0/2/0/0,100000000,126992946,168525829,2023-05-08 15:44:22
6485141,HLC9105.CLOUD.ASR9910.RR.01,10.60.249.39,TenGigE0/1/0/0,10000000,9249,9602,2023-05-08 15:44:22
6485146,HLC9105.CLOUD.ASR9910.RR.01,10.60.249.39,TenGigE0/0/0/0,10000000,9920,9212,2023-05-08 15:44:22
6516651,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,Bundle,200000000,371734,396418,2023-05-08 15:44:22
6516656,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,Bundle,100000000,7008418,37169931,2023-05-08 15:44:22
6516661,HLC9105.CLOUD.ASR9912.BB.01,10.60.249.37,HundredGigE0/2/0/2,100000000,7010057,37162161,2023-05-08 15:44:22
6522556,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,HundredGigE0/2/0/2,100000000,7644616,57349032,2023-05-08 15:44:22
6522561,HLC9105.CLOUD.ASR9912.BB.02,10.60.249.38,Bundle,100000000,7646233,57331046,2023-05-08 15:44:22
6522656,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.21,40000000,225,254,2023-05-08 15:44:26
6522661,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond2,2000000,952040,37069,2023-05-08 15:44:26
6522666,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.19,40000000,0,0,2023-05-08 15:44:26
6522671,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.18,40000000,0,0,2023-05-08 15:44:26
6522676,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.14,40000000,0,0,2023-05-08 15:44:26
6522681,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.20,40000000,0,0,2023-05-08 15:44:26
6522686,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.12,40000000,101,319,2023-05-08 15:44:26
6522691,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.11,40000000,225,254,2023-05-08 15:44:26
6522696,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.13,40000000,0,0,2023-05-08 15:44:26
6522701,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.15,40000000,0,0,2023-05-08 15:44:26
6522706,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.17,40000000,0,0,2023-05-08 15:44:26
6522711,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1,40000000,639,831,2023-05-08 15:44:26
6522716,HLC9106.CLOUD.CP15600.FWPRI.02,10.255.211.11,bond1.16,40000000,0,0,2023-05-08 15:44:26
6527656,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond1.23,40000000,54190343,211880505,2023-05-08 15:44:26
6527661,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond2,2000000,33396,1527349,2023-05-08 15:44:26
6527666,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond1.25,40000000,0,0,2023-05-08 15:44:26
6527671,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond1.24,40000000,340378301,176029952,2023-05-08 15:44:26
6527676,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond1.22,40000000,172061364,343191531,2023-05-08 15:44:26
6527681,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond1.50,40000000,0,0,2023-05-08 15:44:26
6527686,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond1.26,40000000,0,0,2023-05-08 15:44:26
6527691,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond1.28,40000000,0,0,2023-05-08 15:44:26
6527696,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond1.27,40000000,127,145,2023-05-08 15:44:26
6527701,HLC9106.CLOUD.CP15600.FWVAS.02,10.255.211.91,bond1,40000000,729648070,729357144,2023-05-08 15:44:26
6527891,HLC9106.CLOUD.CP15600.FWPUB.02,10.60.249.49,bond1.38,40000000,0,0,2023-05-08 15:44:27
6527896,HLC9106.CLOUD.CP15600.FWPUB.02,10.60.249.49,bond2,2000000,31208,1192303,2023-05-08 15:44:27
6527901,HLC9106.CLOUD.CP15600.FWPUB.02,10.60.249.49,bond1.48,40000000,0,0,2023-05-08 15:44:27
6527906,HLC9106.CLOUD.CP15600.FWPUB.02,10.60.249.49,bond1.46,40000000,70417115,11421030,2023-05-08 15:44:27
6527911,HLC9106.CLOUD.CP15600.FWPUB.02,10.60.249.49,bond1.37,40000000,801,35714,2023-05-08 15:44:27
6527916,HLC9106.CLOUD.CP15600.FWPUB.02,10.60.249.49,bond1.47,40000000,104111779,150925309,2023-05-08 15:44:27
6527921,HLC9106.CLOUD.CP15600.FWPUB.02,10.60.249.49,bond1.45,40000000,186370475,181700864,2023-05-08 15:44:27
6527926,HLC9106.CLOUD.CP15600.FWPUB.02,10.60.249.49,bond1,40000000,367097809,366866811,2023-05-08 15:44:27
6528111,HLC9106.CLOUD.CP15600.FWPUB.01,10.60.249.48,bond1.38,40000000,0,0,2023-05-08 15:44:27
6528116,HLC9106.CLOUD.CP15600.FWPUB.01,10.60.249.48,bond2,2000000,1191871,31191,2023-05-08 15:44:27
6528121,HLC9106.CLOUD.CP15600.FWPUB.01,10.60.249.48,bond1.48,40000000,0,0,2023-05-08 15:44:27
6528126,HLC9106.CLOUD.CP15600.FWPUB.01,10.60.249.48,bond1.46,40000000,0,0,2023-05-08 15:44:27
6528131,HLC9106.CLOUD.CP15600.FWPUB.01,10.60.249.48,bond1.37,40000000,156,184,2023-05-08 15:44:27
6528136,HLC9106.CLOUD.CP15600.FWPUB.01,10.60.249.48,bond1.47,40000000,0,0,2023-05-08 15:44:27
6528141,HLC9106.CLOUD.CP15600.FWPUB.01,10.60.249.48,bond1.45,40000000,0,0,2023-05-08 15:44:27
6528146,HLC9106.CLOUD.CP15600.FWPUB.01,10.60.249.48,bond1,40000000,403,385,2023-05-08 15:44:27
6530766,HLC9106.DATA.CP15600.FWPUB.01,10.60.221.45,bond2,2000000,36520,32857,2023-05-08 15:44:27
6530771,HLC9106.DATA.CP15600.FWPUB.01,10.60.221.45,bond1.45,40000000,0,0,2023-05-08 15:44:27
6530776,HLC9106.DATA.CP15600.FWPUB.01,10.60.221.45,bond1.44,40000000,0,0,2023-05-08 15:44:27
6530781,HLC9106.DATA.CP15600.FWPUB.01,10.60.221.45,bond1.42,40000000,0,0,2023-05-08 15:44:27
6530786,HLC9106.DATA.CP15600.FWPUB.01,10.60.221.45,bond1.43,40000000,0,0,2023-05-08 15:44:27
6530791,HLC9106.DATA.CP15600.FWPUB.01,10.60.221.45,bond1.41,40000000,664,248,2023-05-08 15:44:27
6530796,HLC9106.DATA.CP15600.FWPUB.01,10.60.221.45,bond1,40000000,1539,513,2023-05-08 15:44:27
6530981,HLC9106.DATA.CP15600.FWPUB.02,10.60.221.46,bond2,2000000,32942,36524,2023-05-08 15:44:27
6530986,HLC9106.DATA.CP15600.FWPUB.02,10.60.221.46,bond1.45,40000000,0,0,2023-05-08 15:44:27
6530991,HLC9106.DATA.CP15600.FWPUB.02,10.60.221.46,bond1.44,40000000,1,455573262,2023-05-08 15:44:27
6530996,HLC9106.DATA.CP15600.FWPUB.02,10.60.221.46,bond1.42,40000000,0,0,2023-05-08 15:44:27
6531001,HLC9106.DATA.CP15600.FWPUB.02,10.60.221.46,bond1.43,40000000,0,0,2023-05-08 15:44:27
6531006,HLC9106.DATA.CP15600.FWPUB.02,10.60.221.46,bond1.41,40000000,220,759,2023-05-08 15:44:27
6531011,HLC9106.DATA.CP15600.FWPUB.02,10.60.221.46,bond1,40000000,455575062,455573919,2023-05-08 15:44:27
6531496,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.21,30000000,220,249,2023-05-08 15:44:27
6531501,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond2,2000000,33981,276956,2023-05-08 15:44:27
6531506,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.19,30000000,0,0,2023-05-08 15:44:27
6531511,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.18,30000000,338462912,875377747,2023-05-08 15:44:27
6531516,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.14,30000000,0,0,2023-05-08 15:44:27
6531521,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.20,30000000,865972857,343433596,2023-05-08 15:44:27
6531526,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.12,30000000,3345,835,2023-05-08 15:44:27
6531531,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.11,30000000,220,249,2023-05-08 15:44:27
6531536,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.13,30000000,0,0,2023-05-08 15:44:27
6531541,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.15,30000000,0,0,2023-05-08 15:44:27
6531546,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.17,30000000,0,0,2023-05-08 15:44:27
6531551,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1,30000000,1180131810,1179595455,2023-05-08 15:44:27
6531556,HLC9106.DATA.CP15600.FWPRI.01,10.255.213.74,bond1.16,30000000,0,0,2023-05-08 15:44:27
6531741,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.21,40000000,221,248,2023-05-08 15:44:27
6531746,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond2,2000000,276502,33980,2023-05-08 15:44:27
6531751,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.19,40000000,0,0,2023-05-08 15:44:27
6531756,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.18,40000000,0,0,2023-05-08 15:44:27
6531761,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.14,40000000,0,0,2023-05-08 15:44:27
6531766,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.20,40000000,79,271,2023-05-08 15:44:27
6531771,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.12,40000000,0,0,2023-05-08 15:44:27
6531776,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.11,40000000,221,248,2023-05-08 15:44:27
6531781,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.13,40000000,0,0,2023-05-08 15:44:27
6531786,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.15,40000000,0,0,2023-05-08 15:44:27
6531791,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.17,40000000,0,0,2023-05-08 15:44:27
6531796,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1,40000000,615,783,2023-05-08 15:44:27
6531801,HLC9106.DATA.CP15600.FWPRI.02,10.255.213.75,bond1.16,40000000,0,0,2023-05-08 15:44:27
6701371,HLC9106.CLOUD.CP15600.FWPRI.03,10.60.249.82,bond1,40000000,720,670,2023-05-08 15:44:27
6701376,HLC9106.CLOUD.CP15600.FWPRI.03,10.60.249.82,bond2,2000000,1014888,31709,2023-05-08 15:44:27
6701561,HLC9106.CLOUD.CP15600.FWPRI.04,10.60.249.83,bond1,40000000,56560686,56510798,2023-05-08 15:44:27
6701566,HLC9106.CLOUD.CP15600.FWPRI.04,10.60.249.83,bond2,2000000,31599,1013377,2023-05-08 15:44:27
6707001,SPGM01DRFIREWALL01,10.255.113.92,bond1.150,20000000,221,248,2023-05-08 15:44:27
