id,hostname,ip,name,speed,maxi_60,maxo_60,last_update
2924933,PDL.ERP.DB.SW01,10.2.0.253,FastEthernet0/11,100000,80,154,2023-05-08 15:54:19
2924958,PDL.ERP.DB.SW01,10.2.0.253,FastEthernet0/24,100000,134,156,2023-05-08 15:54:19
2925023,PDL.ERP.DB.SW02,10.2.0.252,FastEthernet0/24,100000,0,62,2023-05-08 15:54:19
2925038,PDL.ERP.DB.SW02,10.2.0.252,Vlan101,1000000,51,152,2023-05-08 15:54:19
6451711,PDL.ERP.DB.SW02,10.2.0.252,Port,200000,0,0,2023-05-08 15:54:19
6451716,PDL.ERP.DB.SW02,10.2.0.252,FastEthernet0/19,100000,17,18,2023-05-08 15:54:19
6451721,PDL.ERP.DB.SW02,10.2.0.252,FastEthernet0/20,100000,48,65,2023-05-08 15:54:19
6451726,PDL.ERP.DB.SW01,10.2.0.253,Port,200000,0,0,2023-05-08 15:54:19
6451731,PDL.ERP.DB.SW01,10.2.0.253,FastEthernet0/19,100000,18,17,2023-05-08 15:54:19
6451736,PDL.ERP.DB.SW01,10.2.0.253,FastEthernet0/20,100000,64,48,2023-05-08 15:54:19
1517475,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/3,100000,8,9562,2023-05-08 15:54:02
1517476,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/4,100000,7,9559,2023-05-08 15:54:02
1517481,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/9,100000,47,9577,2023-05-08 15:54:02
1517482,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/10,100000,1893,9738,2023-05-08 15:54:02
1517483,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/11,100000,35,9587,2023-05-08 15:54:02
1517484,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/12,100000,1797,9713,2023-05-08 15:54:02
1517485,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/13,100000,28,9582,2023-05-08 15:54:02
1517486,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/14,100000,0,9554,2023-05-08 15:54:02
1517488,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/16,100000,0,9554,2023-05-08 15:54:02
1517489,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/18,100000,2,9552,2023-05-08 15:54:02
1517490,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/20,100000,2,9553,2023-05-08 15:54:02
1517493,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/24,100000,1507,22934,2023-05-08 15:54:02
1517494,HLC.BILL.MAN.SW01,10.60.6.126,GigabitEthernet0/1,1000000,16,76,2023-05-08 15:54:02
1611085,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/22,100000,27,73,2023-05-08 15:54:02
2209193,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/1,100000,12086,7639,2023-05-08 15:54:02
2209198,HLC.BILL.MAN.SW01,10.60.6.126,FastEthernet0/2,100000,11900,7635,2023-05-08 15:54:02
2924833,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/1,100000,179,586,2023-05-08 15:54:04
2924843,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/2,100000,55415,26152,2023-05-08 15:54:04
2924848,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/5,100000,34,470,2023-05-08 15:54:04
2924863,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/7,100000,77,538,2023-05-08 15:54:04
2924868,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/9,100000,25809,55118,2023-05-08 15:54:04
2924873,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/10,100000,82,451,2023-05-08 15:54:04
2924898,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/17,100000,0,447,2023-05-08 15:54:04
2924908,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/20,100000,35,214,2023-05-08 15:54:04
2924913,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/22,100000,19,451,2023-05-08 15:54:04
2924928,PDL.ERP.APP.SW02,10.2.0.124,FastEthernet0/24,100000,0,447,2023-05-08 15:54:04
2932468,HLC_AGG_CRS02_KGM,10.60.85.163,MgmtEth0/RP0/CPU0/0,1000000,63,81,2023-05-08 15:54:15
2932488,HLC_AGG_CRS02_KGM,10.60.85.163,TenGigE0/5/0/12,10000000,30,0,2023-05-08 15:54:15
2932523,HLC_AGG_CRS02_KGM,10.60.85.163,TenGigE0/5/0/6,10000000,0,0,2023-05-08 15:54:15
2932528,HLC_AGG_CRS02_KGM,10.60.85.163,TenGigE0/5/0/7,10000000,0,153887001,2023-05-08 15:54:15
2932538,HLC_AGG_CRS02_KGM,10.60.85.163,TenGigE0/5/0/9,10000000,153881085,0,2023-05-08 15:54:15
2932548,HLC_AGG_CRS02_KGM,10.60.85.163,TenGigE0/5/0/11,10000000,0,0,2023-05-08 15:54:15
2933788,HLC_AGG_CRS02_KGM,10.60.85.163,TenGigE0/5/0/12.20,10000000,0,0,2023-05-08 15:54:15
2934568,HLC_AGG_CRS01_KGM,10.60.85.162,MgmtEth0/RP1/CPU0/0,100000,516,524,2023-05-08 15:54:15
2934573,HLC_AGG_CRS01_KGM,10.60.85.162,TenGigE0/0/0/10,10000000,76462309,0,2023-05-08 15:54:15
2934578,HLC_AGG_CRS01_KGM,10.60.85.162,TenGigE0/0/0/6,10000000,380,0,2023-05-08 15:54:15
2934583,HLC_AGG_CRS01_KGM,10.60.85.162,TenGigE0/3/0/8,10000000,52341493,0,2023-05-08 15:54:15
2934588,HLC_AGG_CRS01_KGM,10.60.85.162,TenGigE0/5/0/6,10000000,379,0,2023-05-08 15:54:15
2934593,HLC_AGG_CRS01_KGM,10.60.85.162,TenGigE0/3/0/0,10000000,45004859,0,2023-05-08 15:54:15
2934598,HLC_AGG_CRS01_KGM,10.60.85.162,TenGigE0/3/0/1,10000000,236,0,2023-05-08 15:54:15
2934603,HLC_AGG_CRS01_KGM,10.60.85.162,TenGigE0/3/0/2,10000000,382,0,2023-05-08 15:54:15
2934608,HLC_AGG_CRS01_KGM,10.60.85.162,TenGigE0/3/0/3,10000000,21534368,0,2023-05-08 15:54:15
