id,hostname,ip,name,speed,maxi_60,maxo_60,last_update
6477786,HLC9106.DATA.NX92348.MGT.01,10.60.221.81,port,20000000,10290,6227,2023-05-08 15:54:22
6477801,HLC9106.DATA.NX92348.MGT.02,10.60.221.82,port,20000000,16866,32165,2023-05-08 15:54:22
6477816,HLC9106.DATA.NX92348.MGT.03,10.60.221.83,port,20000000,6877,3657,2023-05-08 15:54:22
6477831,HLC9106.DATA.NX92348.MGT.04,10.60.221.84,port,20000000,6514,3562,2023-05-08 15:54:22
6477846,HLC9106.DATA.NX92348.MGT.05,10.60.221.85,port,20000000,7209,8490,2023-05-08 15:54:22
6477861,HLC9106.DATA.NX92348.MGT.06,10.60.221.86,port,20000000,10389,26199,2023-05-08 15:54:22
6477876,HLC9106.DATA.NX92348.MGT.07,10.60.221.87,port,20000000,19007,404395,2023-05-08 15:54:22
6477891,HLC9106.DATA.NX92348.MGT.08,10.60.221.88,port,20000000,10910,27164,2023-05-08 15:54:22
6477906,HLC9106.DATA.NX92348.MGT.09,10.60.221.89,port,20000000,10888,26298,2023-05-08 15:54:22
6477921,HLC9106.DATA.NX92348.MGT.10,10.60.221.90,port,20000000,10705,26876,2023-05-08 15:54:22
6477936,HLC9106.DATA.NX92348.MGT.11,10.60.221.91,port,20000000,10321,24730,2023-05-08 15:54:22
6477951,HLC9106.DATA.NX92348.MGT.12,10.60.221.92,port,20000000,6812,3375,2023-05-08 15:54:22
6477966,HLC9106.DATA.NX92348.MGT.13,10.60.221.93,port,20000000,9472,23723,2023-05-08 15:54:22
6477981,HLC9106.DATA.NX92348.MGT.14,10.60.221.94,port,20000000,90396,20543,2023-05-08 15:54:22
6477996,HLC9106.DATA.NX92348.MGT.15,10.60.221.95,port,20000000,8970,18453,2023-05-08 15:54:22
6478011,HLC9106.DATA.NX92348.MGT.16,10.60.221.96,port,20000000,6622,2811,2023-05-08 15:54:22
6478026,HLC9106.DATA.NX92348.MGT.17,10.60.221.97,port,20000000,12180,40661,2023-05-08 15:54:22
6478056,HLC9106.DATA.NX92348.MGT.19,10.60.221.99,port,20000000,5946,5601,2023-05-08 15:54:22
6516031,HLC9106_DATA_NX9508_SPINE_01,10.60.221.37,Ethernet1/13,100000000,1139847654,897379239,2023-05-08 15:54:21
6516036,HLC9106_DATA_NX9508_SPINE_01,10.60.221.37,Ethernet2/1,100000000,110153285,113898142,2023-05-08 15:54:21
