id,hostname,ip,name,speed,maxi_60,maxo_60,last_update
1539754,PVN108IT.BANKPL.SW04,10.58.35.192,Vlan136,1000000,0,0,2023-05-08 15:54:15
1539769,PVN108IT.BANKPL.SW04,10.58.35.192,Vlan156,1000000,0,0,2023-05-08 15:54:15
1539770,PVN9105BP.VIETIN.RT1.vtict.com,10.58.35.190,GigabitEthernet0/0,100000,4263,15389,2023-05-08 15:54:15
1539771,PVN9105BP.VIETIN.RT1.vtict.com,10.58.35.190,GigabitEthernet0/1,1000000,12470,3333,2023-05-08 15:54:15
1539774,PVN9105BP.VIETIN.RT1.vtict.com,10.58.35.190,Tunnel1,1000,3433,12819,2023-05-08 15:54:15
1539780,PVN9108.VNPAY.RT01,10.58.35.193,FastEthernet0/0,100000,53,138,2023-05-08 15:54:15
1539781,PVN9108.VNPAY.RT01,10.58.35.193,FastEthernet0/1,100000,38,43,2023-05-08 15:54:15
1539795,PVN9105.BIDV.RT01.yourdomain.com,10.58.35.195,FastEthernet0,100000,48961,83961,2023-05-08 15:54:15
1539797,PVN9105.BIDV.RT01.yourdomain.com,10.58.35.195,FastEthernet2,100000,88621,54790,2023-05-08 15:54:15
1539798,PVN9105.BIDV.RT01.yourdomain.com,10.58.35.195,Vlan1,100000,48063,83284,2023-05-08 15:54:15
1539799,PVN9105.BIDV.RT01.yourdomain.com,10.58.35.195,Tunnel1,1000,84875,50279,2023-05-08 15:54:15
1539800,PVN9105.BIDV.RT01.yourdomain.com,10.58.35.195,Vlan123,100000,87879,53819,2023-05-08 15:54:15
3059633,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/9,100000,15988,4841,2023-05-08 15:54:15
3059638,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/6,100000,0,49,2023-05-08 15:54:15
3059648,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/7,100000,8691,113461,2023-05-08 15:54:15
3059653,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/17,100000,95757,60647,2023-05-08 15:54:15
3059668,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/1,1000000,215,2825,2023-05-08 15:54:15
3059678,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/42,100000,775,587,2023-05-08 15:54:15
3059688,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/5,1000000,3895,2924,2023-05-08 15:54:15
3059693,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/20,100000,4,29,2023-05-08 15:54:15
3059698,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/18,100000,240071,70721,2023-05-08 15:54:15
3059703,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/26,100000,84250,49320,2023-05-08 15:54:15
3059708,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/29,100000,103,30,2023-05-08 15:54:15
3059718,PVN105IT.BANKPL.SW01,10.58.35.189,GigabitEthernet0/38,100000,0,28,2023-05-08 15:54:15
