id,hostname,ip,name,speed,maxi_60,maxo_60,last_update
3645216,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,Vlan100,1000000,4999570,6473155,2023-05-08 15:54:00
3645221,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,Vlan100,1000000,5653627,264,2023-05-08 15:54:00
3645226,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,port,10000000,105,106,2023-05-08 15:54:00
3645231,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,port,10000000,103,103,2023-05-08 15:54:00
3645236,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,port,80000000,3201,4075,2023-05-08 15:54:00
3645241,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,port,80000000,4126,3188,2023-05-08 15:54:00
3645256,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,Ethernet1/47,10000000,105,106,2023-05-08 15:54:00
3645261,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,Ethernet1/47,10000000,103,103,2023-05-08 15:54:00
3645266,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,Ethernet1/7,10000000,801,960,2023-05-08 15:54:00
3645271,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,Ethernet1/7,10000000,720,932,2023-05-08 15:54:00
3645276,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,Vlan101,1000000,730907,262572,2023-05-08 15:54:00
3645281,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,Vlan200,1000000,479,0,2023-05-08 15:54:00
3645286,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,Vlan200,1000000,397,0,2023-05-08 15:54:00
3645291,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,port,10000000,60447571,66559306,2023-05-08 15:54:00
3645296,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,port,10000000,41197121,135767206,2023-05-08 15:54:00
3645301,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,Vlan102,1000000,816722,1250463,2023-05-08 15:54:00
3645306,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,Vlan107,1000000,20012693,37593570,2023-05-08 15:54:00
3645331,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,Ethernet1/53,40000000,2353,1695,2023-05-08 15:54:00
3645336,HLC9106.IT.C3172.GOM.ASW01,10.60.138.61,Ethernet1/53,40000000,1706,2322,2023-05-08 15:54:00
3645351,HLC9106.IT.C3172.GOM.ASW02,10.60.138.62,Vlan108,1000000,6210754,0,2023-05-08 15:54:00
